Net depth range (m),Vol Filtered (m3),Time,Egg counts,Cypris counts,Furcilia I-III counts,Furcilia IV-VI counts,Adult counts,Temperature ,Fluorescence 
0-10,25.5965,00H00,3707.5,2231,1449,834,649.5,17.11583333,119.5085
11-20,23.719,00H00,0,114,134,290,123,13.55016667,73.4035
21-30,24.529,00H00,0,0,0,32,39.5,11.01466667,9.818833333
31-40,51.609,00H00,0,0,0,0,44,9.8139,3.1549
41-50,127.164,00H00,0,0,0,0,82.5,7.596772727,0.183454545
100-200,58.5935,00H00,0,0,0,0,8.5,6.9845,0
0-10,22.6305,04H00,2999,1894.5,1422,776,628.5,16.89666667,125.9995
11-20,26.277,04H00,0,132,247.5,280,179,13.48,77.32383333
21-30,23.422,04H00,0,0,0,127.5,32.5,11.028,10.17383333
31-40,47.6625,04H00,0,0,0,0,51.5,9.7161,3.059
41-50,131.421,04H00,0,0,0,0,80,7.650272727,0.1705
100-200,57.814,04H00,0,0,0,0,18,6.72975,0
0-10,25.15,08H00,4436,2310.5,1182.5,86.5,21,16.87,121.7481667
11-20,26.0795,08H00,0,60.5,682.5,223,61,13.87566667,74.62
21-30,25.966,08H00,0,0,0,432.5,106,11.55516667,9.684333333
31-40,54.0555,08H00,0,0,0,1026,451.5,9.8064,3.0717
41-50,130.958,08H00,0,0,0,65.5,1644.5,7.784590909,0.175909091
100-200,66.803,08H00,0,0,0,0,496,6.903,0
0-10,26.3175,12H00,3626.5,2503,1284.5,86.5,30.5,16.70416667,128.8488333
11-20,24.55,12H00,0,23.5,617.5,188.5,69,13.7925,78.07416667
21-30,24.1665,12H00,0,0,0,336,100.5,11.16916667,10.20966667
31-40,49.65,12H00,0,0,0,1088,583.5,9.4547,3.123
41-50,127.605,12H00,0,0,0,1627.5,469.5,7.515727273,0.179636364
100-200,61.338,12H00,0,0,0,0,725.5,7.02,0
0-10,24.1965,16H00,3839.5,2213,1191.5,127,20,16.59083333,16.59083333
11-20,25.983,16H00,0,116,637.5,269.5,48,13.49316667,13.49316667
21-30,24.2875,16H00,0,0,0,384,80.5,10.93033333,9.760333333
31-40,51.1195,16H00,0,0,0,1017.5,326.5,9.4157,3.037
41-50,117.71,16H00,0,0,0,72,309,7.712772727,0.182
100-200,57.7735,16H00,0,0,0,0,161,6.957375,0
0-10,25.4875,20H00,3190,2115.5,1370.5,653,693.5,16.1375,126.0305
11-20,24.7435,20H00,0,129,266,261.5,144.5,13.68716667,77.831
21-30,24.8075,20H00,0,0,0,203,42,10.92133333,10.376
31-40,52.9515,20H00,0,0,0,0,56.5,9.2656,2.73225
41-50,125.4795,20H00,0,0,0,0,58,7.565409091,0.179227273
100-200,63.8185,20H00,0,0,0,0,14,6.841625,0
