Net depth range (m),Vol Filtered (m3),Time,Egg_counts,Calyptopes_counts,Furcilia_I_III counts,Furcilia_IV_VI counts,Adult_counts,Temperature ,Fluorescence 
0-10,23.5975,00H00,206.5,374.5,476.5,57,50.5,22.59666667,5.795166667
11-20,26.371,00H00,0,24.5,53,110.5,259,21.68216667,7.696666667
21-30,22.919,00H00,0,0,0,310.5,638.5,20.73083333,13.06833333
31-50,52.065,00H00,0,0,0,513,911.5,14.783,8.569
51-100,128.3635,00H00,0,0,0,294,316.5,10.47786364,0.086590909
101-200 ,252.717,00H00,0,0,0,0,252.5,8.38802381,0
0-10,24.565,04H00,180,316,435,59.5,78.5,22.51416667,5.699666667
11-20,24.008,04H00,0,17,63.5,99,270.5,21.47416667,7.5325
21-30,25.267,04H00,0,0,0,306.5,638.5,20.2625,12.9625
31-50,53.309,04H00,0,0,0,514.5,700,14.525,5.8559
51-100,123.5975,04H00,0,0,0,355,291,10.62804545,0.082772727
101-200 ,248.4545,04H00,0,0,0,0,407,8.425714286,0
0-10,25.3455,08H00,228.5,404.5,355,59,83,21.55583333,5.791833333
11-20,24.017,08H00,0,14.5,184,96,251.5,20.24016667,7.93
21-30,25.1645,08H00,0,0,0,257,624,19.94583333,13.35616667
31-50,49.634,08H00,0,0,0,609,1195.5,14.789,6.2641
51-100,119.577,08H00,0,0,0,285.5,479.5,10.49909091,0.082545455
101-200 ,253.692,08H00,0,0,0,0,474,8.527684211,0
0-10,22.981,12H00,174,346.5,394,48,37.5,21.74083333,5.908333333
11-20,26.3455,12H00,0,11.5,184.5,114,113.5,21.51766667,7.706666667
21-30,25.807,12H00,0,0,0,234.5,239.5,20.22916667,13.22366667
31-50,46.5475,12H00,0,0,0,483.5,950,14.687,6.1898
51-100,120.9995,12H00,0,0,0,782.5,733.5,10.19322727,0.081545455
101-200 ,236.6795,12H00,0,0,0,0,3014,8.48202381,0
0-10,25.808,16H00,169.5,343.5,355,72.5,41.5,22.81166667,6.134666667
11-20,25.6705,16H00,0,24,229.5,122,312,21.549,7.71
21-30,25.889,16H00,0,0,0,265.5,724,19.83,13.25816667
31-50,50.925,16H00,0,0,0,593.5,673.5,14.4665,6.0743
51-100,121.0585,16H00,0,0,0,315,440,10.41568182,0.081045455
101-200 ,245.0115,16H00,0,0,0,0,471.5,8.476619048,0
0-10,25.516,20H00,185.5,416.5,467.5,57.5,81,22.39,5.904333333
11-20,25.057,20H00,0,19,91.5,122,317.5,21.26,7.83
21-30,25.696,20H00,0,0,0,332,636.5,20.69416667,13.1595
31-50,49.243,20H00,0,0,0,469.5,901,14.6945,6.1198
51-100,123.7755,20H00,0,0,0,281.5,392.5,10.41831818,0.080363636
101-200 ,244.2355,20H00,0,0,0,0,410.5,8.395906977,0
